Year	Recruits LowRec		HighRec	 TSB		LowTSB	HighTSB	 SSB		LowSSB	HighSSB	F48	LowF48	HighF48
1980	6976096	 3171071	15346838 5809471	3135001	10765531 3988796	1888475	8425050	0.188	0.103	0.341
1981	5581678	 2893450	10767469 5531668	3340196	9160946	 3594804	1908103	6772494	0.188	0.107	0.330
1982	2364318	 1138293	4910862	 5240880	3387423	8108472	 3584036	2117316	6066789	0.189	0.111	0.321
1983	2078174	 955796	        4518542	 5235642	3608057	7597426	 3921560	2581807	5956538	0.190	0.115	0.313
1984	4901246	 2522548	9522995	 5142243	3670285	7204526	 4159893	2904350	5958206	0.192	0.120	0.307
1985	3953058	 2123975	7357274	 5246124	3912707	7033957	 4024857	2924985	5538310	0.196	0.126	0.306
1986	3921560	 2178005	7060878	 4813813	3664271	6323984	 3584036	2670777	4809578	0.202	0.133	0.307
1987	4911058	 2800644	8611766	 4625060	3539231	6044021	 3598401	2694114	4806213	0.210	0.143	0.311
1988	3495545	 2016432	6059634	 4746889	3739715	6025313	 3548374	2728711	4614250	0.220	0.153	0.316
1989	3485075	 2006134	6054304	 4452606	3566588	5558729	 3331723	2617630	4240620	0.235	0.168	0.328
1990	2771779	 1548040	4962896	 4386315	3561812	5401677	 3365207	2696324	4200021	0.254	0.186	0.348
1991	3242970	 1881764	5588827	 4360076	3578005	5313089	 3236490	2627176	3987121	0.280	0.208	0.377
1992	3671093	 2126993	6336138	 3847753	3181432	4653629	 2913891	2391497	3550397	0.308	0.231	0.411
1993	2963851	 1726592	5087718	 3520100	2931509	4226869	 2553562	2114194	3084241	0.333	0.251	0.443
1994	2791250	 1636647	4760389	 3075568	2574696	3673877	 2215525	1846167	2658780	0.345	0.261	0.455
1995	2475616	 1444682	4242232	 3011654	2533286	3580353	 2195675	1841789	2617557	0.331	0.257	0.426
1996	3048012	 1679186	5532664	 2794042	2360882	3306676	 2078174	1752209	2464777	0.304	0.240	0.384
1997	2757955	 1563629	4864527	 2824947	2407415	3314893	 2022814	1729713	2365580	0.286	0.226	0.363
1998	3365207	 2160910	5240670	 2719613	2314819	3195193	 2004690	1711037	2348741	0.292	0.232	0.367
1999	3890312	 2564361	5901871	 3081725	2646594	3588396	 2180359	1867158	2546097	0.311	0.253	0.383
2000	3112697	 2099395	4615081	 3063290	2690022	3488352	 2141463	1866206	2457320	0.341	0.294	0.396
2001	5147388	 3552421	7458464	 2827773	2494089	3206101	 2028891	1776461	2317190	0.384	0.330	0.446
2002	9047509	 6139906	13332030 3020703	2616871	3486852	 1949337	1688765	2250115	0.420	0.359	0.492
2003	3109586	 2144635	4508703	 3416065	2903908	4018551	 2004690	1714966	2343359	0.447	0.377	0.530
2004	3719129	 2454025	5636422	 3385459	2868145	3996078	 2475616	2074337	2954524	0.415	0.350	0.491
2005	5649062	 3645996	8752588	 3084808	2594260	3668113	 2308249	1911345	2787573	0.330	0.280	0.390
2006	11478658 7667338	17184528 3315105	2771535	3965284	 2237792	1858894	2693920	0.308	0.259	0.365
2007	5173190	 3503104	7639479	 3609212	2996663	4346972	 2412080	2010910	2893282	0.351	0.297	0.416
2008	5362817	 3624258	7935366	 4303762	3509345	5278012	 2966816	2426936	3626795	0.324	0.272	0.388
2009	5111482	 3418594	7642689	 4662209	3810077	5704923	 3591211	2922062	4413595	0.285	0.236	0.345
2010	6702559	 4467949	10054793 4990267	4107331	6063004	 3874782	3171071	4734658	0.270	0.222	0.330
2011	8129419	 5398653	12241471 5745917	4711599	7007293	 4470452	3649132	5476627	0.264	0.214	0.326
2012	6004381	 3962319	9098863	 5632140	4567333	6945191	 4231216	3432914	5215158	0.244	0.194	0.307
2013	4239687	 2702155	6652079	 5604049	4517910	6951305	 4551648	3663831	5654600	0.250	0.197	0.316
2014	11375813 6866602	18846165 6426882	5107190	8087579	 5304150	4190036	6714501	0.267	0.210	0.340
2015	3057169	 1630439	5732372	 6689168	5153157	8683020	 5173190	3972634	6736560	0.269	0.207	0.351
2016    3057169   843673        11078092      NA           NA       NA     5293552	3776922	7419187 NA      NA      NA	
